year,month,module,trt,habitat
2008,JUN,1,C,veg
2008,JUN,1,X,veg
2008,JUN,2,C,veg
2008,JUN,2,X,veg
2008,JUN,3,C,veg
2008,JUN,3,X,veg
2008,JUN,4,C,veg
2008,JUN,4,X,veg
2008,JUN,5,C,unveg
2008,JUN,5,X,unveg
2008,JUN,6,C,unveg
2008,JUN,6,X,unveg
2008,JUN,7,C,veg
2008,JUN,7,X,veg
2008,JUN,8,C,veg
2008,JUN,8,X,veg
2008,JUN,9,C,unveg
2008,JUN,9,X,unveg
2008,JUN,10,C,unveg
2008,JUN,10,X,unveg
2008,JUN,11,C,veg
2008,JUN,11,X,veg
2008,JUN,12,C,veg
2008,JUN,12,X,veg
2008,JUN,13,C,unveg
2008,JUN,13,X,unveg
2008,JUN,14,C,unveg
2008,JUN,14,X,unveg
2008,JUN,15,C,unveg
2008,JUN,15,X,unveg
2008,JUN,16,C,unveg
2008,JUN,16,X,unveg
2009,AUG,1,C,veg
2009,AUG,1,X,veg
2009,AUG,2,C,veg
2009,AUG,2,X,veg
2009,AUG,3,C,veg
2009,AUG,3,X,veg
2009,AUG,4,C,veg
2009,AUG,4,X,veg
2009,AUG,5,C,unveg
2009,AUG,5,X,unveg
2009,AUG,6,C,unveg
2009,AUG,6,X,unveg
2009,AUG,7,C,veg
2009,AUG,7,X,veg
2009,AUG,8,C,veg
2009,AUG,8,X,veg
2009,AUG,9,C,unveg
2009,AUG,9,X,unveg
2009,AUG,10,C,unveg
2009,AUG,10,X,unveg
2009,AUG,11,C,veg
2009,AUG,11,X,veg
2009,AUG,12,C,veg
2009,AUG,12,X,veg
2009,AUG,13,C,unveg
2009,AUG,13,X,unveg
2009,AUG,14,C,unveg
2009,AUG,14,X,unveg
2009,AUG,15,C,unveg
2009,AUG,15,X,unveg
2009,AUG,16,C,unveg
2009,AUG,16,X,unveg
2010,AUG,1,C,veg
2010,AUG,1,X,veg
2010,AUG,2,C,veg
2010,AUG,2,X,veg
2010,AUG,3,C,veg
2010,AUG,3,X,veg
2010,AUG,4,C,veg
2010,AUG,4,X,veg
2010,AUG,5,C,unveg
2010,AUG,5,X,unveg
2010,AUG,6,C,unveg
2010,AUG,6,X,unveg
2010,AUG,7,C,veg
2010,AUG,7,X,veg
2010,AUG,8,C,veg
2010,AUG,8,X,veg
2010,AUG,9,C,unveg
2010,AUG,9,X,unveg
2010,AUG,10,C,unveg
2010,AUG,10,X,unveg
2010,AUG,11,C,veg
2010,AUG,11,X,veg
2010,AUG,12,C,veg
2010,AUG,12,X,veg
2010,AUG,13,C,unveg
2010,AUG,13,X,unveg
2010,AUG,14,C,unveg
2010,AUG,14,X,unveg
2010,AUG,15,C,unveg
2010,AUG,15,X,unveg
2010,AUG,16,C,unveg
2010,AUG,16,X,unveg
2011,AUG,1,C,veg
2011,AUG,1,X,veg
2011,AUG,2,C,veg
2011,AUG,2,X,veg
2011,AUG,3,C,veg
2011,AUG,3,X,veg
2011,AUG,4,C,veg
2011,AUG,4,X,veg
2011,AUG,5,C,unveg
2011,AUG,5,X,unveg
2011,AUG,6,C,unveg
2011,AUG,6,X,unveg
2011,AUG,7,C,veg
2011,AUG,7,X,veg
2011,AUG,8,C,veg
2011,AUG,8,X,veg
2011,AUG,9,C,unveg
2011,AUG,9,X,unveg
2011,AUG,10,C,unveg
2011,AUG,10,X,unveg
2011,AUG,11,C,veg
2011,AUG,11,X,veg
2011,AUG,12,C,veg
2011,AUG,12,X,veg
2011,AUG,13,C,unveg
2011,AUG,13,X,unveg
2011,AUG,14,C,unveg
2011,AUG,14,X,unveg
2011,AUG,15,C,unveg
2011,AUG,15,X,unveg
2011,AUG,16,C,unveg
2011,AUG,16,X,unveg
2012,AUG,1,C,veg
2012,AUG,1,X,veg
2012,AUG,2,C,veg
2012,AUG,2,X,veg
2012,AUG,3,C,veg
2012,AUG,3,X,veg
2012,AUG,4,C,veg
2012,AUG,4,X,veg
2012,AUG,5,C,unveg
2012,AUG,5,X,unveg
2012,AUG,6,C,unveg
2012,AUG,6,X,unveg
2012,AUG,7,C,veg
2012,AUG,7,X,veg
2012,AUG,8,C,veg
2012,AUG,8,X,veg
2012,AUG,9,C,unveg
2012,AUG,9,X,unveg
2012,AUG,10,C,unveg
2012,AUG,10,X,unveg
2012,AUG,11,C,veg
2012,AUG,11,X,veg
2012,AUG,12,C,veg
2012,AUG,12,X,veg
2012,AUG,13,C,unveg
2012,AUG,13,X,unveg
2012,AUG,14,C,unveg
2012,AUG,14,X,unveg
2012,AUG,15,C,unveg
2012,AUG,15,X,unveg
2012,AUG,16,C,unveg
2012,AUG,16,X,unveg
2013,AUG,1,C,veg
2013,AUG,1,X,veg
2013,AUG,2,C,veg
2013,AUG,2,X,veg
2013,AUG,3,C,veg
2013,AUG,3,X,veg
2013,AUG,4,C,veg
2013,AUG,4,X,veg
2013,AUG,5,C,unveg
2013,AUG,5,X,unveg
2013,AUG,6,C,unveg
2013,AUG,6,X,unveg
2013,AUG,7,C,veg
2013,AUG,7,X,veg
2013,AUG,8,C,veg
2013,AUG,8,X,veg
2013,AUG,9,C,unveg
2013,AUG,9,X,unveg
2013,AUG,10,C,unveg
2013,AUG,10,X,unveg
2013,AUG,11,C,veg
2013,AUG,11,X,veg
2013,AUG,12,C,veg
2013,AUG,12,X,veg
2013,AUG,13,C,unveg
2013,AUG,13,X,unveg
2013,AUG,14,C,unveg
2013,AUG,14,X,unveg
2013,AUG,15,C,unveg
2013,AUG,15,X,unveg
2013,AUG,16,C,unveg
2013,AUG,16,X,unveg
2014,AUG,1,C,veg
2014,AUG,1,X,veg
2014,AUG,2,C,veg
2014,AUG,2,X,veg
2014,AUG,3,C,veg
2014,AUG,3,X,veg
2014,AUG,4,C,veg
2014,AUG,4,X,veg
2014,AUG,5,C,unveg
2014,AUG,5,X,unveg
2014,AUG,6,C,unveg
2014,AUG,6,X,unveg
2014,AUG,7,C,veg
2014,AUG,7,X,veg
2014,AUG,8,C,veg
2014,AUG,8,X,veg
2014,AUG,9,C,unveg
2014,AUG,9,X,unveg
2014,AUG,10,C,unveg
2014,AUG,10,X,unveg
2014,AUG,11,C,veg
2014,AUG,11,X,veg
2014,AUG,12,C,veg
2014,AUG,12,X,veg
2014,AUG,13,C,unveg
2014,AUG,13,X,unveg
2014,AUG,14,C,unveg
2014,AUG,14,X,unveg
2014,AUG,15,C,unveg
2014,AUG,15,X,unveg
2014,AUG,16,C,unveg
2014,AUG,16,X,unveg
2015,AUG,1,C,veg
2015,AUG,1,X,veg
2015,AUG,2,C,veg
2015,AUG,2,X,veg
2015,AUG,3,C,veg
2015,AUG,3,X,veg
2015,AUG,4,C,veg
2015,AUG,4,X,veg
2015,AUG,5,C,unveg
2015,AUG,5,X,unveg
2015,AUG,6,C,unveg
2015,AUG,6,X,unveg
2015,AUG,7,C,veg
2015,AUG,7,X,veg
2015,AUG,8,C,veg
2015,AUG,8,X,veg
2015,AUG,9,C,unveg
2015,AUG,9,X,unveg
2015,AUG,10,C,unveg
2015,AUG,10,X,unveg
2015,AUG,11,C,veg
2015,AUG,11,X,veg
2015,AUG,12,C,veg
2015,AUG,12,X,veg
2015,AUG,13,C,unveg
2015,AUG,13,X,unveg
2015,AUG,14,C,unveg
2015,AUG,14,X,unveg
2015,AUG,15,C,unveg
2015,AUG,15,X,unveg
2015,AUG,16,C,unveg
2015,AUG,16,X,unveg